"","Gender","IsMarried","IsPremiumCust","City","JobType","HouseHoldPopulation","CurrentPlan","AccType","Movie1","Movie2","Movie3","Movie4","Movie5","Movie6","Movie7","Movie8","Movie9","Movie10","Salary_cat","Age_Cat","CustSeniority_Cat","CustCat_Names"
"11","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-The American President","Movie-Waiting to Exhale","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-The American President","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-3","CustCat_HighValued"
"12","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Toy Story","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Jumanji","Movie-Toy Story","Movie-Jumanji","Movie-Tom And Huck","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-1","CustCat_HighValued"
"13","Gender-F","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Single","Movie-The American President","Movie-SuddenDeath","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Tom And Huck","Movie-Sabrina","Movie-Sabrina","Movie-Father of the Bride Part II","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-4","CustCat_HighValued"
"14","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mysore","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Toy Story","Movie-Toy Story","Movie-GoldenEye","Movie-Tom And Huck","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Grumpier Old Men","Movie-The American President","Movie-SuddenDeath","Movie-Waiting to Exhale","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-4","CustCat_HighValued"
"15","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-3","CustCat_HighValued"
"16","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-Others","HouseHoldPopulation-1","CurrentPlan-PlanB","AccType-Single","Movie-Father of the Bride Part II","Movie-Jumanji","Movie-Heat","Movie-Heat","Movie-Toy Story","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Toy Story","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-4","CustCat_HighValued"
"17","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Mysore","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Single","Movie-Balto","Movie-Waiting to Exhale","Movie-Balto","Movie-Toy Story","Movie-Tom And Huck","Movie-Toy Story","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Heat","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-2","CustCat_HighValued"
"18","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Joint","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Movie-GoldenEye","Movie-Balto","Movie-Grumpier Old Men","Movie-Balto","Movie-GoldenEye","Movie-Balto","Movie-SuddenDeath","Movie-Grumpier Old Men","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-4","CustCat_HighValued"
"19","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Jumanji","Movie-Balto","Movie-Sabrina","Movie-GoldenEye","Movie-Grumpier Old Men","Movie-Balto","Movie-Ace Ventura: When Nature Calls","Movie-Nixon","Movie-SuddenDeath","Movie-Balto","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-2","CustCat_HighValued"
"20","Gender-M","IsMarried-N","IsPremiumCust-Y","City-Blore","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanB","AccType-Single","Movie-Heat","Movie-Toy Story","Movie-Toy Story","Movie-Tom And Huck","Movie-Sabrina","Movie-Nixon","Movie-The American President","Movie-Balto","Movie-Balto","Movie-Grumpier Old Men","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-1","CustCat_HighValued"
"21","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanA","AccType-Single","Movie-Toy Story","Movie-Heat","Movie-Heat","Movie-GoldenEye","Movie-Jumanji","Movie-SuddenDeath","Movie-Sabrina","Movie-SuddenDeath","Movie-Balto","Movie-Waiting to Exhale","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-4","CustCat_HighValued"
"22","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanA","AccType-Joint","Movie-Balto","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Heat","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-GoldenEye","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Salary_cat-4","Age_Cat-3","CustSeniority_Cat-1","CustCat_HighValued"
"23","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Mysore","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanD","AccType-Joint","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Dracula: Dead and Loving It","Movie-Waiting to Exhale","Movie-Sabrina","Movie-The American President","Movie-Heat","Movie-Heat","Movie-Tom And Huck","Salary_cat-4","Age_Cat-2","CustSeniority_Cat-3","CustCat_HighValued"
"24","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanD","AccType-Joint","Movie-The American President","Movie-Tom And Huck","Movie-Jumanji","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-Waiting to Exhale","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Movie-Dracula: Dead and Loving It","Movie-Toy Story","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-1","CustCat_HighValued"
"25","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanD","AccType-Joint","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-SuddenDeath","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Movie-Tom And Huck","Movie-Jumanji","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-1","CustCat_HighValued"
"26","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Joint","Movie-SuddenDeath","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-Balto","Movie-Sabrina","Movie-The American President","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Jumanji","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-1","CustCat_HighValued"
"27","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Single","Movie-Nixon","Movie-Grumpier Old Men","Movie-Sabrina","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Tom And Huck","Movie-Sabrina","Movie-Toy Story","Movie-Ace Ventura: When Nature Calls","Movie-Nixon","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-1","CustCat_HighValued"
"28","Gender-M","IsMarried-Y","IsPremiumCust-Y","City-Noida","JobType-Others","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-GoldenEye","Movie-Sabrina","Movie-Grumpier Old Men","Movie-The American President","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-SuddenDeath","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Sabrina","Salary_cat-1","Age_Cat-4","CustSeniority_Cat-4","CustCat_HighValued"
"29","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-GovtOfficial","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Balto","Movie-Dracula: Dead and Loving It","Movie-GoldenEye","Movie-GoldenEye","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Grumpier Old Men","Movie-The American President","Movie-Nixon","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-4","CustCat_Shoppers"
"30","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanB","AccType-Single","Movie-Waiting to Exhale","Movie-Tom And Huck","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Jumanji","Movie-Toy Story","Movie-Balto","Movie-Nixon","Movie-GoldenEye","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-1","CustCat_Shoppers"
"31","Gender-M","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Single","Movie-SuddenDeath","Movie-GoldenEye","Movie-SuddenDeath","Movie-Sabrina","Movie-Sabrina","Movie-Heat","Movie-Grumpier Old Men","Movie-Nixon","Movie-SuddenDeath","Movie-Grumpier Old Men","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-4","CustCat_Shoppers"
"32","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-SuddenDeath","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-Balto","Movie-Grumpier Old Men","Movie-Heat","Movie-SuddenDeath","Movie-SuddenDeath","Movie-Jumanji","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-2","CustCat_Shoppers"
"33","Gender-M","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-GoldenEye","Movie-Balto","Movie-Tom And Huck","Movie-GoldenEye","Movie-SuddenDeath","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Balto","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-4","CustCat_Shoppers"
"34","Gender-F","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-HomeMaker","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Jumanji","Movie-GoldenEye","Movie-Ace Ventura: When Nature Calls","Movie-The American President","Movie-GoldenEye","Movie-GoldenEye","Movie-Nixon","Movie-Heat","Movie-Grumpier Old Men","Movie-Sabrina","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-2","CustCat_Shoppers"
"35","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Self","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Single","Movie-Jumanji","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Movie-Ace Ventura: When Nature Calls","Movie-Jumanji","Movie-Waiting to Exhale","Movie-Heat","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Salary_cat-1","Age_Cat-2","CustSeniority_Cat-1","CustCat_Shoppers"
"36","Gender-M","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Joint","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Balto","Movie-Sabrina","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Jumanji","Movie-Father of the Bride Part II","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-2","CustCat_Shoppers"
"37","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-SuddenDeath","Movie-Nixon","Movie-Heat","Movie-Heat","Movie-Tom And Huck","Movie-Heat","Movie-Jumanji","Movie-Waiting to Exhale","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-2","CustCat_Shoppers"
"38","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Joint","Movie-Father of the Bride Part II","Movie-Grumpier Old Men","Movie-Nixon","Movie-Grumpier Old Men","Movie-The American President","Movie-Dracula: Dead and Loving It","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-Toy Story","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-3","CustCat_Shoppers"
"39","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-Balto","Movie-Sabrina","Movie-Sabrina","Movie-Dracula: Dead and Loving It","Movie-Grumpier Old Men","Movie-Waiting to Exhale","Movie-Waiting to Exhale","Movie-Jumanji","Movie-The American President","Movie-GoldenEye","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-4","CustCat_Shoppers"
"40","Gender-F","IsMarried-N","IsPremiumCust-N","City-Hyd","JobType-Others","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-Tom And Huck","Movie-Jumanji","Movie-SuddenDeath","Movie-Balto","Movie-GoldenEye","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Tom And Huck","Movie-Tom And Huck","Movie-Nixon","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-3","CustCat_Shoppers"
"41","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Joint","Movie-Waiting to Exhale","Movie-Heat","Movie-SuddenDeath","Movie-Heat","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Father of the Bride Part II","Movie-Ace Ventura: When Nature Calls","Movie-Father of the Bride Part II","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-3","CustCat_Shoppers"
"42","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-HomeMaker","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-Waiting to Exhale","Movie-Tom And Huck","Movie-GoldenEye","Movie-Tom And Huck","Movie-GoldenEye","Movie-Dracula: Dead and Loving It","Salary_cat-3","Age_Cat-2","CustSeniority_Cat-4","CustCat_Shoppers"
"43","Gender-F","IsMarried-N","IsPremiumCust-N","City-Chennai","JobType-Technology","HouseHoldPopulation-3","CurrentPlan-PlanC","AccType-Joint","Movie-GoldenEye","Movie-Heat","Movie-SuddenDeath","Movie-The American President","Movie-Jumanji","Movie-Sabrina","Movie-Jumanji","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-Father of the Bride Part II","Salary_cat-2","Age_Cat-1","CustSeniority_Cat-2","CustCat_Shoppers"
"44","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-GovtOfficial","HouseHoldPopulation-1","CurrentPlan-PlanD","AccType-Joint","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Heat","Movie-Dracula: Dead and Loving It","Movie-The American President","Movie-GoldenEye","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Movie-The American President","Movie-SuddenDeath","Salary_cat-2","Age_Cat-3","CustSeniority_Cat-4","CustCat_Shoppers"
"45","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Single","Movie-Dracula: Dead and Loving It","Movie-Balto","Movie-Heat","Movie-Grumpier Old Men","Movie-Jumanji","Movie-Sabrina","Movie-Jumanji","Movie-SuddenDeath","Movie-Ace Ventura: When Nature Calls","Movie-Balto","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-1","CustCat_Shoppers"
"46","Gender-M","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-HomeMaker","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Joint","Movie-Toy Story","Movie-Waiting to Exhale","Movie-Sabrina","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-Sabrina","Movie-Sabrina","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Toy Story","Salary_cat-2","Age_Cat-2","CustSeniority_Cat-3","CustCat_Shoppers"
"47","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanB","AccType-Single","Movie-The American President","Movie-Nixon","Movie-Nixon","Movie-Heat","Movie-SuddenDeath","Movie-Tom And Huck","Movie-Toy Story","Movie-The American President","Movie-Grumpier Old Men","Movie-GoldenEye","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-4","CustCat_Shoppers"
"48","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-HomeMaker","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-Nixon","Movie-Jumanji","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Toy Story","Movie-Nixon","Movie-Ace Ventura: When Nature Calls","Movie-Nixon","Movie-Grumpier Old Men","Movie-Father of the Bride Part II","Salary_cat-2","Age_Cat-4","CustSeniority_Cat-4","CustCat_Shoppers"
"49","Gender-F","IsMarried-N","IsPremiumCust-N","City-Blore","JobType-Technology","HouseHoldPopulation-2","CurrentPlan-PlanA","AccType-Joint","Movie-Balto","Movie-Sabrina","Movie-Sabrina","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-Balto","Movie-Father of the Bride Part II","Movie-Waiting to Exhale","Movie-The American President","Movie-Dracula: Dead and Loving It","Salary_cat-4","Age_Cat-4","CustSeniority_Cat-3","CustCat_Shoppers"
"50","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Others","HouseHoldPopulation-4","CurrentPlan-PlanC","AccType-Joint","Movie-Father of the Bride Part II","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Heat","Movie-Father of the Bride Part II","Movie-Heat","Movie-Ace Ventura: When Nature Calls","Movie-SuddenDeath","Movie-Waiting to Exhale","Movie-Jumanji","Salary_cat-3","Age_Cat-4","CustSeniority_Cat-1","CustCat_Shoppers"
"51","Gender-M","IsMarried-N","IsPremiumCust-N","City-Mumbai","JobType-GovtOfficial","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Tom And Huck","Movie-Dracula: Dead and Loving It","Movie-Tom And Huck","Movie-SuddenDeath","Movie-GoldenEye","Movie-The American President","Movie-SuddenDeath","Movie-Nixon","Movie-Toy Story","Movie-SuddenDeath","Salary_cat-3","Age_Cat-3","CustSeniority_Cat-1","CustCat_Shoppers"
"52","Gender-F","IsMarried-Y","IsPremiumCust-Y","City-Mumbai","JobType-Others","HouseHoldPopulation-2","CurrentPlan-PlanC","AccType-Single","Movie-Heat","Movie-SuddenDeath","Movie-Father of the Bride Part II","Movie-Sabrina","Movie-The American President","Movie-Father of the Bride Part II","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Nixon","Movie-The American President","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-2","CustCat_Shoppers"
"53","Gender-F","IsMarried-N","IsPremiumCust-N","City-Noida","JobType-Technology","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Single","Movie-GoldenEye","Movie-SuddenDeath","Movie-Grumpier Old Men","Movie-SuddenDeath","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-SuddenDeath","Movie-Balto","Movie-Sabrina","Movie-Grumpier Old Men","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-4","CustCat_Shoppers"
"54","Gender-F","IsMarried-Y","IsPremiumCust-N","City-Chennai","JobType-HomeMaker","HouseHoldPopulation-1","CurrentPlan-PlanC","AccType-Joint","Movie-Heat","Movie-Waiting to Exhale","Movie-Tom And Huck","Movie-Ace Ventura: When Nature Calls","Movie-Grumpier Old Men","Movie-Toy Story","Movie-Ace Ventura: When Nature Calls","Movie-Waiting to Exhale","Movie-Ace Ventura: When Nature Calls","Movie-Sabrina","Salary_cat-4","Age_Cat-1","CustSeniority_Cat-3","CustCat_Shoppers"
"55","Gender-F","IsMarried-N","IsPremiumCust-Y","City-Noida","JobType-Technology","HouseHoldPopulation-5","CurrentPlan-PlanC","AccType-Single","Movie-Nixon","Movie-Nixon","Movie-Nixon","Movie-Dracula: Dead and Loving It","Movie-Sabrina","Movie-The American President","Movie-Nixon","Movie-GoldenEye","Movie-Jumanji","Movie-Tom And Huck","Salary_cat-3","Age_Cat-1","CustSeniority_Cat-4","CustCat_Shoppers"
"56","Gender-M","IsMarried-Y","IsPremiumCust-N","City-Mumbai","JobType-Self","HouseHoldPopulation-3","CurrentPlan-PlanA","AccType-Single","Movie-Balto","Movie-Toy Story","Movie-Balto","Movie-Heat","Movie-Tom And Huck","Movie-Heat","Movie-Waiting to Exhale","Movie-Grumpier Old Men","Movie-Tom And Huck","Movie-Sabrina","Salary_cat-1","Age_Cat-3","CustSeniority_Cat-1","CustCat_ValuableCust"
"57","Gender-F","IsMarried-N","IsPremiumCust-N","City-Mysore","JobType-Self","HouseHoldPopulation-5","CurrentPlan-PlanA","AccType-Joint","Movie-Father of the Bride Part II","Movie-GoldenEye","Movie-Waiting to Exhale","Movie-Sabrina","Movie-SuddenDeath","Movie-Nixon","Movie-Tom And Huck","Movie-Heat","Movie-Balto","Movie-The American President","Salary_cat-1","Age_Cat-1","CustSeniority_Cat-4","CustCat_ValuableCust"
